confid,confname
CONF_ACC,Atlantic Coast Conference
CONF_AEC,America East Conference
CONF_A_SUN,ASUN Conference
CONF_A_TEN,Atlantic Ten Conference
CONF_BIG_EAST,Big East Conference
CONF_BIG_SKY,Big Sky Conference
CONF_BIG_SOUTH,Big South Conference
CONF_BIG_TEN,Big Ten Conference
CONF_BIG_TWELVE,Big Twelve Conference
CONF_BIG_WEST,Big West Conference
CONF_CAA,Colonial Athletic Association
CONF_CUSA,Conference USA
CONF_GWC,Great West Conference
CONF_HORIZON,Horizon League
CONF_IND,Independent
CONF_IVY,Ivy League
CONF_MAAC,Metro Atlantic Athletic Conference
CONF_MAC,American Conference
CONF_MEAC,Eastern Athletic Conference
CONF_MID_CONT,Continent Conference
CONF_MVC,Missouri Valley Conference
CONF_MWC,Mountain West Conference
CONF_NEC,Northeast Conference
CONF_OVC,Ohio Valley Conference
CONF_PAC_TEN,Pacific Ten Conference
CONF_PAC_TWELVE,Pacific Twelve Conference
CONF_PATRIOT,Patriot League
CONF_SEC,Southeastern Conference
CONF_SOUTHERN,Southern Conference
CONF_SOUTHLAND,Southland Conference
CONF_SUMMIT,Summit League
CONF_SUN_BELT,Sun Belt Conference
CONF_SWAC,Southwestern Athletic Conference
CONF_WAC,Western Athletic Conference
CONF_WCC,West Coast Conference
