CONF_ACC,CONF_AEC,CONF_A_SUN,CONF_A_TEN,CONF_BIG_EAST,CONF_BIG_SKY,CONF_BIG_SOUTH,CONF_BIG_TEN,CONF_BIG_TWELVE,CONF_BIG_WEST,CONF_CAA,CONF_CUSA,CONF_GWC,CONF_HORIZON,CONF_IND,CONF_IVY,CONF_MAAC,CONF_MAC,CONF_MEAC,CONF_MID_CONT,CONF_MVC,CONF_MWC,CONF_NEC,CONF_OVC,CONF_PAC_TEN,CONF_PAC_TWELVE,CONF_PATRIOT,CONF_SEC,CONF_SOUTHERN,CONF_SOUTHLAND,CONF_SUMMIT,CONF_SUN_BELT,CONF_SWAC,CONF_WAC,CONF_WCC,SEASON,TEAMID,SCORE_MEAN,FGM_MEAN,FGA_MEAN,FGM3_MEAN,FGA3_MEAN,FTM_MEAN,FTA_MEAN,OR_MEAN,DR_MEAN,AST_MEAN,TO_MEAN,STL_MEAN,BLK_MEAN,PF_MEAN,SCORE_MEDIAN,FGM_MEDIAN,FGA_MEDIAN,FGM3_MEDIAN,FGA3_MEDIAN,FTM_MEDIAN,FTA_MEDIAN,OR_MEDIAN,DR_MEDIAN,AST_MEDIAN,TO_MEDIAN,STL_MEDIAN,BLK_MEDIAN,PF_MEDIAN,SCORE_STDDEV,FGM_STDDEV,FGA_STDDEV,FGM3_STDDEV,FGA3_STDDEV,FTM_STDDEV,FTA_STDDEV,OR_STDDEV,DR_STDDEV,AST_STDDEV,TO_STDDEV,STL_STDDEV,BLK_STDDEV,PF_STDDEV,WLOCN,WLOCH,WLOCA,WINMARGINMEDIAN,WINMARGINMEAN,LOSEMARGINMEDIAN,LOSEMARGINMEAN,WON_CONFERENCE,TOTAL_WINS,REGION
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2015,1352,69,24.30303,54.484848,6.393939,16.818182,14,19.606061,10.424242,23,12.242424,13.757576,8.545455,2.939394,18.545455,68,24,55,6,16,13,18,10,23,11,13,8,3,18,11.29988938,4.857242325,6.978185724,2.703462964,5.071085584,5.963430221,8.069771496,3.775168076,4.616546328,4.394814444,4.272223543,3.052569737,1.869816034,4.623924956,1,10,8,12,11.842105,7.5,13.071429,1,19,X
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,1235,80.878788,29.424242,62.787879,9.969697,24.787879,12.060606,17.333333,9.333333,25.606061,15.818182,10.151515,7.909091,3.575758,15.969697,79,29,61,10,25,11,17,9,25,16,11,7,3,16,14.92849115,6.456732455,9.047643229,3.076979525,4.935569673,4.7692989,5.982613726,4.254899176,7.524706772,5.801155833,3.77592055,3.538746529,2.077111937,3.787189327,6,12,5,9,15.434783,5,6.2,1,23,Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2004,1284,68.78125,22.9375,54.71875,7.09375,20.25,15.8125,21.1875,9.375,24,13.8125,13.40625,7.65625,2.625,17.53125,65.5,22.5,53,7,19.5,16,21,9,25,13,12,7.5,2.5,17,10.53330931,4.592683529,6.726137599,2.78659667,4.586093981,5.710417761,7.489508796,3.210366334,4.711002866,5.257483143,4.264325973,3.356355315,1.211504024,3.885327013,3,13,5,10,9.52381,12,12.727273,1,21,W
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1139,70.09375,22.71875,50.1875,6.75,19.75,17.90625,23.9375,9.25,23.59375,12.8125,12.40625,6.84375,2.46875,18.5,70,23,50,7,21,17.5,22,9,23,13,12,7,2,18.5,8.298306755,3.709050552,5.515008885,2.286002187,4.095631087,6.920560165,8.624561728,3.758860466,4.211040608,3.64060874,3.825714182,2.952411557,1.413857136,3.583114567,1,15,12,11.5,12.464286,8,6.75,1,28,Z
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,1420,72.483871,25.612903,58.451613,9.83871,25.774194,11.419355,17.580645,9.709677,24.354839,14.870968,11.677419,7.387097,2.548387,16.516129,72,25,59,10,25,12,18,9,25,15,12,7,2,16,13.54220802,4.977800217,6.622379784,3.597191265,5.800630311,4.717161541,7.008443479,4.204708075,5.553067531,4.326214165,3.123962228,2.871438838,1.748117273,3.443554123,0,12,9,9,10.809524,14,18,1,21,Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2011,1254,82.59375,28.03125,60.125,6.90625,18.875,19.625,30.4375,14.46875,27.375,15.125,15.34375,7.34375,3.4375,17.25,84,29,61,7,19,19,30,14,27,15,15,8,3,15,8.893126672,3.676291746,6.036181243,2.084650091,4.077871013,6.057519955,7.857347071,4.015971115,4.470332314,3.866731566,4.483729586,2.671345915,1.998991746,4.486538978,0,14,13,11,11.851852,6,8.2,1,27,W
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2005,1431,75.65625,25.9375,55.9375,6.03125,16.28125,17.75,22.40625,11.09375,23.0625,16.5,12.375,7.375,2.8125,16.8125,74,26.5,56,6,16,18,22,11,22.5,16,12.5,7.5,2,17,12.58931797,4.989909218,6.671738679,2.776448991,4.650593941,7.184212065,8.427525438,3.206438835,4.015594601,4.435923692,4.949747468,3.180079087,2.428825642,3.788245768,4,14,7,13,14.08,7,8.428571,1,25,Y
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,1218,77.133333,25.933333,56.466667,7.333333,22.366667,17.933333,26.133333,10.433333,26.933333,15.633333,13.166667,7.733333,3.9,20.466667,75.5,25.5,55,7,23,17,25,10,26.5,15,13,9,4,21,8.63726224,4.118363753,6.735051596,2.482120062,4.75962425,6.648480954,8.156796736,3.147887387,4.806126403,4.334968743,3.259821621,2.923546819,2.186951988,4.768671723,3,15,7,12,14.28,6,6.6,1,25,Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2004,1418,76.269231,27.192308,58.692308,8.230769,22.115385,13.653846,19.884615,11.653846,21.961538,16.115385,14.538462,8.692308,2.115385,18.653846,76,28,57.5,8,22.5,14,20,12,22,16.5,14.5,8,2,19,13.45974053,5.824219948,6.897937228,2.371627079,4.794387761,6.834865397,9.348056162,2.513042976,4.190281852,4.439161407,4.101031821,3.674443904,1.557611633,4.288984145,3,9,6,13.5,13.277778,4.5,9.125,1,18,X
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,1242,78.588235,28.647059,59.558824,7.147059,20.117647,14.147059,19.529412,9.941176,25.058824,15.441176,12.029412,6.411765,4.147059,15.882353,76,28,59,6,19.5,13.5,18.5,10,25,15,12,6.5,3.5,16,10.94370623,5.409768664,7.451626534,2.500089198,4.810120061,5.774197347,7.455871378,3.829243006,5.471364455,4.135516413,3.919533773,3.016295576,2.687032378,3.763981668,6,16,6,13,14.464286,9,8.333333,1,28,Y
